,adress_velo,lat_velo,lng_velo,bike_stands,status,available_bike_stands,available_bikes,availability,id_velo,type
229,"74, Rue Paul Cazeneuve",45.7314272671117600,4.8600379663129870,22,OPEN,0,22,Bleu,8042,station_velo
230,"52, Rue du Poizat",45.7557642719574800,4.8915301676718470,22,OPEN,20,2,Vert,10113,station_velo
231,"Face 45, Quai Joseph Gillet",45.7782780129806140,4.8106317576202680,22,OPEN,19,3,Vert,4023,station_velo
232,"139, Avenue Félix Faure",45.7543008100597300,4.8634641019603990,19,OPEN,4,15,Vert,3066,station_velo
233,"Face 23, Boulevard de la Croix Rousse",45.7722538415304900,4.8194608620100040,20,OPEN,9,11,Vert,1023,station_velo
234,"100, Cours Gambetta",45.7517901355474700,4.8526079660087520,40,OPEN,0,38,Bleu,7003,station_velo
235,"31, Boulevard Yves Farge",45.7431645419377450,4.8341688750746420,30,OPEN,11,17,Vert,7030,station_velo
236,Allée Achille Lignon,45.7848181552653900,4.8565116142349005,28,OPEN,28,0,Orange,6042,station_velo
237,"Face 2, Place des Célestins",45.7599398325897200,4.8320716113863760,22,OPEN,18,4,Vert,2013,station_velo
238,"115, Avenue Lacassagne",45.7495627067970800,4.8759334029685050,16,OPEN,4,11,Vert,3086,station_velo
239,"17, Avenue Jean Jaurès",45.7525809002148800,4.8463206182240945,10,OPEN,5,5,Vert,7008,station_velo
240,Rue Bancel,45.7485202867305600,4.8405245716725130,21,OPEN,2,19,Vert,7024,station_velo
241,"78, Boulevard des Etats-Unis",45.7322180106596860,4.8651415367367150,20,OPEN,12,8,Vert,8029,station_velo
